"text","label","explain"
"300 1200","CARDINAL","Numerals that do not fall under another type"
"pez","PERSON","People, including fictional"
"13","CARDINAL","Numerals that do not fall under another type"
"2 09am","CARDINAL","Numerals that do not fall under another type"
"22,227","CARDINAL","Numerals that do not fall under another type"
"IBM","ORG","Companies, agencies, institutions, etc."
"Write WP","PERSON","People, including fictional"
"NN GGGGGG WWW","ORG","Companies, agencies, institutions, etc."
"WWW","ORG","Companies, agencies, institutions, etc."
"WWW","ORG","Companies, agencies, institutions, etc."
"NN","ORG","Companies, agencies, institutions, etc."
"GG WWW WW WW WWW","ORG","Companies, agencies, institutions, etc."
"NN NNNNNN","ORG","Companies, agencies, institutions, etc."
"GG","PERSON","People, including fictional"
"GGGG","PERSON","People, including fictional"
"WWW WWW AAA","ORG","Companies, agencies, institutions, etc."
"AAA","ORG","Companies, agencies, institutions, etc."
"GG","PERSON","People, including fictional"
"GG","PERSON","People, including fictional"
"MM MM","PERSON","People, including fictional"
"'Crisis Detection Level'","EVENT","Named hurricanes, battles, wars, sports events, etc."
"CDL","ORG","Companies, agencies, institutions, etc."
"CDL","ORG","Companies, agencies, institutions, etc."
"CDL","ORG","Companies, agencies, institutions, etc."
"347","CARDINAL","Numerals that do not fall under another type"
"CDL","ORG","Companies, agencies, institutions, etc."
"few minutes later","TIME","Times smaller than a day"
"HOPELESS","ORG","Companies, agencies, institutions, etc."
"Three","CARDINAL","Numerals that do not fall under another type"
"29","CARDINAL","Numerals that do not fall under another type"
"1","CARDINAL","Numerals that do not fall under another type"
"12","CARDINAL","Numerals that do not fall under another type"
"Phrack Inc.","ORG","Companies, agencies, institutions, etc."
"November 17, 1989","DATE","Absolute or relative dates or periods"
"29","CARDINAL","Numerals that do not fall under another type"
"Phrack Inc.","ORG","Companies, agencies, institutions, etc."
"two","CARDINAL","Numerals that do not fall under another type"
"Legion of Doom","ORG","Companies, agencies, institutions, etc."
"second","ORDINAL","""first"", ""second"", etc."
"two","CARDINAL","Numerals that do not fall under another type"
"second","ORDINAL","""first"", ""second"", etc."
"Network Miscellany","ORG","Companies, agencies, institutions, etc."
"Covert Paths","PERSON","People, including fictional"
"Teleconnect Magazine","ORG","Companies, agencies, institutions, etc."
"November 1989","DATE","Absolute or relative dates or periods"
"55","CARDINAL","Numerals that do not fall under another type"
"4","CARDINAL","Numerals that do not fall under another type"
"Teleconnect","ORG","Companies, agencies, institutions, etc."
"MCI Security","ORG","Companies, agencies, institutions, etc."
"Phrack Inc.","ORG","Companies, agencies, institutions, etc."
"January 8, 1986","DATE","Absolute or relative dates or periods"
"Phrack Inc. Newsletter","ORG","Companies, agencies, institutions, etc."
"VII","ORG","Companies, agencies, institutions, etc."
"3","CARDINAL","Numerals that do not fall under another type"
"10","CARDINAL","Numerals that do not fall under another type"
"3","CARDINAL","Numerals that do not fall under another type"
"9","CARDINAL","Numerals that do not fall under another type"
"Bitnet","PERSON","People, including fictional"
"C483307","PERSON","People, including fictional"
"Bitnet","PERSON","People, including fictional"
"Taran King","PERSON","People, including fictional"
"Knight Lightning 2","ORG","Companies, agencies, institutions, etc."
"Emmanuel Goldstein","PERSON","People, including fictional"
"Protocols II   ","WORK_OF_ART","Titles of books, songs, etc."
"Chapter Nine of the FTS","LAW","Named documents made into laws."
"Taran","NORP","Nationalities or religious or political groups"
"Cyber Neuron Limited","PERSON","People, including fictional"
"Bank Information","ORG","Companies, agencies, institutions, etc."
"Legion of Doom","ORG","Companies, agencies, institutions, etc."
"7","CARDINAL","Numerals that do not fall under another type"
"Legion of Doom","ORG","Companies, agencies, institutions, etc."
"8","CARDINAL","Numerals that do not fall under another type"
"Jim Schmickley","PERSON","People, including fictional"
"Phrack World News","ORG","Companies, agencies, institutions, etc."
"1 3","CARDINAL","Numerals that do not fall under another type"
"Three","CARDINAL","Numerals that do not fall under another type"
"29","CARDINAL","Numerals that do not fall under another type"
"2","CARDINAL","Numerals that do not fall under another type"
"12","CARDINAL","Numerals that do not fall under another type"
"Taran King","PERSON","People, including fictional"
"November 12, 1989","DATE","Absolute or relative dates or periods"
"first","ORDINAL","""first"", ""second"", etc."
"one","CARDINAL","Numerals that do not fall under another type"
"Emmanuel Goldstein","PERSON","People, including fictional"
"Emmanuel Goldstein","PERSON","People, including fictional"
"Howard Tripod","PERSON","People, including fictional"
"Sidney Schreiber","PERSON","People, including fictional"
"Bob Hardy","PERSON","People, including fictional"
"Gary Wilson","PERSON","People, including fictional"
"Clint Eastwood","PERSON","People, including fictional"
"110","CARDINAL","Numerals that do not fall under another type"
"Hacker","PERSON","People, including fictional"
"Emmanuel Goldstein","PERSON","People, including fictional"
"1984","DATE","Absolute or relative dates or periods"
"Macs","PERSON","People, including fictional"
"IBM","ORG","Companies, agencies, institutions, etc."
"four years","DATE","Absolute or relative dates or periods"
"Sysop Co Sysop","PERSON","People, including fictional"
"Long Island","GPE","Countries, cities, states"
"1984","DATE","Absolute or relative dates or periods"
"New Jersey","GPE","Countries, cities, states"
"1986","DATE","Absolute or relative dates or periods"
"2600","CARDINAL","Numerals that do not fall under another type"
"Phreak Hack World                              ","EVENT","Named hurricanes, battles, wars, sports events, etc."
"first","ORDINAL","""first"", ""second"", etc."
"10","CARDINAL","Numerals that do not fall under another type"
"95","CARDINAL","Numerals that do not fall under another type"
"10","CARDINAL","Numerals that do not fall under another type"
"WANT","ORG","Companies, agencies, institutions, etc."
"Origins","PERSON","People, including fictional"
"2600","DATE","Absolute or relative dates or periods"
"First Amendment","LAW","Named documents made into laws."
"Amsterdam","GPE","Countries, cities, states"
"past summer","DATE","Absolute or relative dates or periods"
"Cable Pair","ORG","Companies, agencies, institutions, etc."
"New York","GPE","Countries, cities, states"
"sixties","DATE","Absolute or relative dates or periods"
"one","CARDINAL","Numerals that do not fall under another type"
"English","NORP","Nationalities or religious or political groups"
"Stony Brook","PERSON","People, including fictional"
"Good Humor","ORG","Companies, agencies, institutions, etc."
"Pacifica Radio","ORG","Companies, agencies, institutions, etc."
"one","CARDINAL","Numerals that do not fall under another type"
"Telemail","PERSON","People, including fictional"
"PHALSE  Phreakers","ORG","Companies, agencies, institutions, etc."
"Laundromat Service Employees","ORG","Companies, agencies, institutions, etc."
"PHALSE","ORG","Companies, agencies, institutions, etc."
"four","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
"Bill Landreth","PERSON","People, including fictional"
"10","CARDINAL","Numerals that do not fall under another type"
"1984","DATE","Absolute or relative dates or periods"
"2600","DATE","Absolute or relative dates or periods"
"one","CARDINAL","Numerals that do not fall under another type"
"Soviet","NORP","Nationalities or religious or political groups"
"couple of years ago","DATE","Absolute or relative dates or periods"
"Baffin Island","LOC","Non-GPE locations, mountain ranges, bodies of water"
"week","DATE","Absolute or relative dates or periods"
"Eskimos","ORG","Companies, agencies, institutions, etc."
"next year","DATE","Absolute or relative dates or periods"
"just over 10 years","DATE","Absolute or relative dates or periods"
"WUSB FM","ORG","Companies, agencies, institutions, etc."
"Stony Brook","PERSON","People, including fictional"
"NY","GPE","Countries, cities, states"
"State University","ORG","Companies, agencies, institutions, etc."
"WBAI FM","ORG","Companies, agencies, institutions, etc."
"New York City","GPE","Countries, cities, states"
"weekly","DATE","Absolute or relative dates or periods"
"WUSB","ORG","Companies, agencies, institutions, etc."
"Radio Moscow","ORG","Companies, agencies, institutions, etc."
"WBAI","PERSON","People, including fictional"
"two","CARDINAL","Numerals that do not fall under another type"
"Ska","PERSON","People, including fictional"
"day","DATE","Absolute or relative dates or periods"
"Jamaica","GPE","Countries, cities, states"
"Clash","PERSON","People, including fictional"
"Dead Kennedys","PERSON","People, including fictional"
"Donner Party","ORG","Companies, agencies, institutions, etc."
"Public Enemy","ORG","Companies, agencies, institutions, etc."
"Camper Van Beethoven","PERSON","People, including fictional"
"Pink Floyd","PERSON","People, including fictional"
"Fun Boy Three","PERSON","People, including fictional"
"De La Soul","WORK_OF_ART","Titles of books, songs, etc."
"Anti Nowhere League","ORG","Companies, agencies, institutions, etc."
"Tracy Chapman","PERSON","People, including fictional"
"John Lennon","PERSON","People, including fictional"
"Elvis Costello","PERSON","People, including fictional"
"Patsy Cline","PERSON","People, including fictional"
"over 100","CARDINAL","Numerals that do not fall under another type"
"Sprint","ORG","Companies, agencies, institutions, etc."
"Iran","GPE","Countries, cities, states"
"China","GPE","Countries, cities, states"
"First","ORDINAL","""first"", ""second"", etc."
"Second","ORDINAL","""first"", ""second"", etc."
"today","DATE","Absolute or relative dates or periods"
"5","CARDINAL","Numerals that do not fall under another type"
"10","DATE","Absolute or relative dates or periods"
"20 years ago","DATE","Absolute or relative dates or periods"
"Beatles","GPE","Countries, cities, states"
"today","DATE","Absolute or relative dates or periods"
"today","DATE","Absolute or relative dates or periods"
"sixties","DATE","Absolute or relative dates or periods"
"us","GPE","Countries, cities, states"
"100 years ago","DATE","Absolute or relative dates or periods"
"Jew Gentile","PERSON","People, including fictional"
"million years","DATE","Absolute or relative dates or periods"
"Linus Van Pelt","PERSON","People, including fictional"
"Three","CARDINAL","Numerals that do not fall under another type"
"29","CARDINAL","Numerals that do not fall under another type"
"3","CARDINAL","Numerals that do not fall under another type"
"12","CARDINAL","Numerals that do not fall under another type"
"Protocols","ORG","Companies, agencies, institutions, etc."
"Chapter Nine Of The Future","LAW","Named documents made into laws."
"Knight Lightning","LAW","Named documents made into laws."
"September 27, 1989","DATE","Absolute or relative dates or periods"
"Two","CARDINAL","Numerals that do not fall under another type"
"Protocols","ORG","Companies, agencies, institutions, etc."
"Charles L. Hedrick","PERSON","People, including fictional"
"Rutgers University","ORG","Companies, agencies, institutions, etc."
"Time","ORG","Companies, agencies, institutions, etc."
"T Technologies,","ORG","Companies, agencies, institutions, etc."
"Two","CARDINAL","Numerals that do not fall under another type"
"Two","CARDINAL","Numerals that do not fall under another type"
"UDP","ORG","Companies, agencies, institutions, etc."
"Two","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
"TCP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"IP","ORG","Companies, agencies, institutions, etc."
"FTP","ORG","Companies, agencies, institutions, etc."
"FTP","ORG","Companies, agencies, institutions, etc."
"Recall","FAC","Buildings, airports, highways, bridges, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"User","PERSON","People, including fictional"
"1234","DATE","Absolute or relative dates or periods"
"21","CARDINAL","Numerals that do not fall under another type"
"FTP","ORG","Companies, agencies, institutions, etc."
"two","CARDINAL","Numerals that do not fall under another type"
"FTP","ORG","Companies, agencies, institutions, etc."
"4","CARDINAL","Numerals that do not fall under another type"
"TCP","ORG","Companies, agencies, institutions, etc."
"four","CARDINAL","Numerals that do not fall under another type"
"IP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"two","CARDINAL","Numerals that do not fall under another type"
"1","CARDINAL","Numerals that do not fall under another type"
"21","CARDINAL","Numerals that do not fall under another type"
"2","CARDINAL","Numerals that do not fall under another type"
"21","CARDINAL","Numerals that do not fall under another type"
"FTP","ORG","Companies, agencies, institutions, etc."
"at least one","CARDINAL","Numerals that do not fall under another type"
"TCP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"IP","ORG","Companies, agencies, institutions, etc."
"first","ORDINAL","""first"", ""second"", etc."
"two","CARDINAL","Numerals that do not fall under another type"
"second","ORDINAL","""first"", ""second"", etc."
"two","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
"two","CARDINAL","Numerals that do not fall under another type"
"First","ORDINAL","""first"", ""second"", etc."
"EBCDIC","PERSON","People, including fictional"
"TCP","ORG","Companies, agencies, institutions, etc."
"IP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"RFC","ORG","Companies, agencies, institutions, etc."
"half","CARDINAL","Numerals that do not fall under another type"
"two","CARDINAL","Numerals that do not fall under another type"
"10","CARDINAL","Numerals that do not fall under another type"
"36","CARDINAL","Numerals that do not fall under another type"
"two","CARDINAL","Numerals that do not fall under another type"
"36","CARDINAL","Numerals that do not fall under another type"
"two","CARDINAL","Numerals that do not fall under another type"
"17","CARDINAL","Numerals that do not fall under another type"
"42 06 EDT","TIME","Times smaller than a day"
"taran","PERSON","People, including fictional"
"Four years","DATE","Absolute or relative dates or periods"
"822","CARDINAL","Numerals that do not fall under another type"
"Today","DATE","Absolute or relative dates or periods"
"one","CARDINAL","Numerals that do not fall under another type"
"821","CARDINAL","Numerals that do not fall under another type"
"974","CARDINAL","Numerals that do not fall under another type"
"first","ORDINAL","""first"", ""second"", etc."
"269.517.724.5","PERSON","People, including fictional"
"TCP","ORG","Companies, agencies, institutions, etc."
"25","CARDINAL","Numerals that do not fall under another type"
"269.517.724.5","FAC","Buildings, airports, highways, bridges, etc."
"FTS","ORG","Companies, agencies, institutions, etc."
"MSP","ORG","Companies, agencies, institutions, etc."
"FTS","ORG","Companies, agencies, institutions, etc."
"220","CARDINAL","Numerals that do not fall under another type"
"17","CARDINAL","Numerals that do not fall under another type"
"24 EDT","TIME","Times smaller than a day"
"HELO","ORG","Companies, agencies, institutions, etc."
"250","CARDINAL","Numerals that do not fall under another type"
"250","CARDINAL","Numerals that do not fall under another type"
"MAIL","ORG","Companies, agencies, institutions, etc."
"250","CARDINAL","Numerals that do not fall under another type"
"354","CARDINAL","Numerals that do not fall under another type"
"CRLF","ORG","Companies, agencies, institutions, etc."
"CRLF       FTS","ORG","Companies, agencies, institutions, etc."
"17","CARDINAL","Numerals that do not fall under another type"
"06 EDT","TIME","Times smaller than a day"
"taran","PERSON","People, including fictional"
"Four years","DATE","Absolute or relative dates or periods"
"250","CARDINAL","Numerals that do not fall under another type"
"221","CARDINAL","Numerals that do not fall under another type"
"HELO","ORG","Companies, agencies, institutions, etc."
"more than one","CARDINAL","Numerals that do not fall under another type"
"RCPT","ORG","Companies, agencies, institutions, etc."
"first","ORDINAL","""first"", ""second"", etc."
"2","CARDINAL","Numerals that do not fall under another type"
"3","CARDINAL","Numerals that do not fall under another type"
"4","CARDINAL","Numerals that do not fall under another type"
"5","CARDINAL","Numerals that do not fall under another type"
"4","CARDINAL","Numerals that do not fall under another type"
"5","CARDINAL","Numerals that do not fall under another type"
"RFC 959","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"854","CARDINAL","Numerals that do not fall under another type"
"814","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"UDP","WORK_OF_ART","Titles of books, songs, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"few seconds","TIME","Times smaller than a day"
"UDP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"IP","ORG","Companies, agencies, institutions, etc."
"IP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"RFC 883","PRODUCT","Objects, vehicles, foods, etc. (not services)"
"ICMP","ORG","Companies, agencies, institutions, etc."
"ICMP","ORG","Companies, agencies, institutions, etc."
"TCP","ORG","Companies, agencies, institutions, etc."
"ICMP","ORG","Companies, agencies, institutions, etc."
"ICMP","ORG","Companies, agencies, institutions, etc."
"ICMP","ORG","Companies, agencies, institutions, etc."
"ICMP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"UDP","ORG","Companies, agencies, institutions, etc."
"ICMP","ORG","Companies, agencies, institutions, etc."
"ICMP","ORG","Companies, agencies, institutions, etc."
"32","CARDINAL","Numerals that do not fall under another type"
"one","CARDINAL","Numerals that do not fall under another type"
